name,latitude,longitude,2013,2014,2015,2016,2017,2018,2019
Bovine,29.6313,-96.0769,,,,,,0,4.398
Bradley PV1,36.2606,-77.0764,,,0,5.456,5.64,7.835,8.018
Brantley Solar,35.8905,-78.1552,,,,,,15.225,102.92384
Brass Mill Center,41.5489,-73.0245,,,,,,,4.146
Britton Solar Energy Center,35.016,-106.098,,,,,,,6.865
Broadridge Solar  LLC,34.5229,-78.9572,,,,,0.352,9.691,9.950000000000000
Broadway Solar Center  LLC,34.3093,-78.8314,,0.035,9.26,9.661,9.715,9.114,9.048
Brockelman,42.4814,-71.7169,0.056,4.914,4.968,5.303,4.579,3.294,1.856
Bronson,29.5375,-95.9695,,,,,,0,15.265
Brook Street Solar 1 CSG,41.9559,-70.7861,,,,,0.68,5.8340000000000000,8.347
Broome County,42.1047,-75.9307,,,,,0,0.9500000000000000,2.483
Bruce A Henry Solar Farm,38.664,-75.4005,2.012,6.2330000000000000,6.511,7.18,6.36867,6.212,6.5
Bryan Solar  LLC,29.6,-104.3,,26.169,24.810000000000000,25.624,23.592,24.437,24.188
Buckeye Union HS District 201,33.4192,-112.5761,7.263,7.397,7.01,7.398000000000000,7.173,6.972,7.211
Buckhorn Solar Plant,38.0233,-112.7317,,,0,5.729,5.355,5.969,5.027
Buckingham Solar LLC,37.5029,-78.3792,,,,,1.7590000000000000,30.511,34.697
Buckleberry Solar,35.3807,-77.406,,,,,,2.086,106.15741
Buckthorn Westex,30.5755,-102.5513,,,,,,198.02,264.79
Buddy Solar,35.5419,-80.3633,,,0.328,7.022,6.599,5.897,6.3340000000000000
Bullock Solar  LLC,36.4754,-78.3151,,,,,2.87,98.85560000000000,102.176
Bunn Level Farm  LLC,35.3086,-78.7743,,,,0.154,10.126,9.503,9.49
Burgaw Solar  LLC,34.536,-77.9117,,,,,,,0.89
Butler Solar Farm 20,32.5755,-84.3165,,,,43.088,41.657000000000000,39.302,40.46
Butler Solar Project 103,32.5619,-84.2758,,,,10.481,232.978,225.627,230.207
Butte College Main Campus Solar,39.6481,-121.6442,6.517,5.752,5.776,5.0920000000000000,5.805,5.529,5.212
CA Flats Solar 130  LLC,35.6156,-120.4044,,,,,20.432000000000000,361.793,337
CA Flats Solar 150  LLC,35.6156,-120.4044,,,,,,,320.88800000000000
CB Bladen Solar  LLC,34.8229,-78.6243,,,,7.303,10.11,9.364,9.394
CDCR (CA) - Corcoran State Prison,36.065,-119.5576,,,,,10.025,3.067,9.688
CED Avenal,35.9963,-120.1515,,,,,36.564,40.727000000000000,29.848
CED Chicopee Solar,42.2039,-72.551,,,,,3.7960000000000000,4.606,4.9590000000000000
CED Ducor 1,35.8563,-119.0684,,,,2.193,53.578,52.444,46.736000000000000
CED Ducor 2,35.8442,-119.0681,,,,1.978,53.254,52.276,46.371
CED Ducor 3,35.8454,-119.057,,,,1.3960000000000000,39.551,39.207,35.219
CED Ducor 4,35.8504,-119.027,,,,1.6520000000000000,53.414,52.343,46.505
CED Northampton Solar LLC Hybrid,42.3057,-72.7106,,,,,,,0
CF Novel Solar CSG Gardens Eleven  LLC,44.24,-93.96,,,,,0,2.657,3.993
CF Novel Solar CSG Gardens Five  LLC,44.0938,-93.4017,,,,,0,3.6310000000000000,5.38
CF Novel Solar CSG Gardens Seven  LLC,45.4308,-94.0219,,,,,0,1.915,3.9650000000000000
CGSun  LLC Community Solar,44.8479,-92.875,,,,,0,4.252,5.869
CID Solar  LLC,36.1381,-119.5647,,0.159,53.888,53.664,52.472,52.378,46.843
CM10,35.7881,-114.9933,20.375,19.869,19.885,19.061,19.321,19.595,22.562
CM48,35.7814,-114.9933,105.251,103.456,101.936,98.291,101.20400000000000,100.205,97.974
CMEEC - Norwich Stott St Solar Hybrid,41.5769,-72.1046,,,,0,0,0,4.738
CMEEC - Polaris Park Solar Hybrid,41.3813,-72.0769,,,,0,0,0,5.22
CNE at Cambridge MD,38.5158,-76.0192,,,4.057,6.377,6.140000000000000,5.862,6.0440000000000000
CSU Long Beach Lots 7 & 14,33.781,-118.1136,,,,,,7.6770000000000000,7.289000000000000
CalCity Solar 1,35.1414,-117.9657,,,,,,,0.594
CalRenew-1,36.7575,-120.3658,10.786,10.42,10.185,9.358,9.825000000000000,9.855,8.964
California Valley Solar Ranch,35.3237,-119.9166,399.36400000000000,684.403,688.253,679.796,647.541,676.633,584.795
Calipatria Solar Farm,33.1658,-115.5322,,,,45.14,45.399,41.922000000000000,42.035000000000000
Calpine Vineland Solar LLC,39.4636,-75.0667,5.372,5.514,5.4,5.605,5.4830000000000000,5.086,5.214
Calverton,40.9211,-72.7437,,,,5.162,4.573,4.884,2.625
Camden Dam Solar  LLC,36.3118,-76.1258,,,,,,,2.258
Cameron Solar,33.574,-80.707,,,,,0.133,25.181,43.535000000000000
Cameron Solar II,33.567,-80.699,,,,,3.743,7.743,8.661
Camilla Solar Plant,31.1839,-84.1319,2.993,32.012,29.077,31.67,30.008,27.491,27.556
Camp Lejeune Solar,34.7257,-77.3503,,,0.583,23.652,22.352,19.769000000000000,21.742
Campo Verde Solar,32.7533,-115.7264,77.409,371.297,368.933,362.327,351.526,326.519,335.826
Candace Solar,35.487,-78.1922,,,,2.896,9.387,9.06,9.138
Cantua Solar Station,36.4251,-120.3435,48.175000000000000,43.209,42.547000000000000,43.802,39.822,42.223,40.365
Capella Community Solar,44.0901,-96.1612,,,,,0.612,5.204,7.744
Caprock Solar 1 LLC,34.9828,-103.3783,,,,3.053,68.987,67.811,64.316
Carina Community Solar,44.1647,-92.2412,,,,,,5.442,5.726
Carl Friedrich Gauss Solar,36.3458,-77.6335,,,,,,0.612,6.399
Carol Jean Solar,36.3161,-80.1444,,,,0.031,6.787,6.605,7.166
Carrizozo Solar,33.6103,-105.7478,,,,,,6.732,6.666
Carter PV1,35.0211,-78.7875,,0,9.238,10.024000000000000,10.036,8.686,9.38
Carver Gladden CSG,44.8071,-93.8717,,,,,,3.41,4.313
Cascade Solar,34.1572,-116.2344,,51.327,55.967,52.502,49.704,49.26,51.43
Cascade Solar (TX),29.2054,-96.0234,,,,,,,12.928
Castaic Lake Phase II,34.4333,-118.5108,,,,,,,6.37
Castle Gap Solar Hybrid,31.255,-102.272,,,,,,300.193,432.234
Catalina Solar 2  LLC,34.8122,-118.3528,,,23.722,56.517,55.397,56.028,52.435
Catalina Solar LLC,34.9383,-118.3345,204.23600000000000,287.983,279.89300000000000,269.368,269.22,265.28000000000000,247.126
Catlin Solar 1 LLC,42.2859,-76.954,,,,,,,0
Cedar Branch,39.5033,-74.9645,,,,1.307,9.716000000000000,8.639,10.198
Cedar Solar  LLC,34.9158,-77.7757,,,0.807,9.865,9.838000000000000,9.034,9.371
Cedar Valley Solar Plant,37.8078,-113.09,,,0.048,3.1310000000000000,5.684,5.969,5.817
Ceiba Norte,18.2365,-65.9117,,,,,,,
Celina Solar Project #1  LLC,40.5406,-84.5906,,6.139,6.05,6.166,4.831,5.505,
Centinela Solar Energy,32.6869,-115.6478,50.036,449.236,509.851,484.764,467.598,458.8,483.717
CentraState Medical Center PV Facility,40.2361,-74.3214,,0.038,8.496,8.48,7.904,7.5200000000000000,7.9910000000000000
Central Antelope Dry Ranch B LLC,34.7055,-118.3014,,,,,1.478,8.397,8.368
Central Antelope Dry Ranch C,34.7205,-118.3005,,,,28.606,37.166000000000000,39.449,38.332
Chadbourn Farm,34.3247,-78.7649,9.870000000000000,9.726,9.585,9.426,9.758000000000000,9.304,9.325000000000000
Chaffey College Rancho Cucamonga Campus,34.1481,-117.5704,,,,,,6.3,6.893
Champion Solar,33.7947,-81.2624,,,,,0.708,23.333000000000000,23.03
Charlotte Solar,35.2619,-81.8217,,,0.053,9.986,9.697000000000000,9.284,9.437
Charlton Solar I CSG,42.1275,-71.9964,,,5.605,5.981,5.44,2.771,5.515
Chauncey Farm LLC,34.3375,-78.5219,,4.4030000000000000,8.982,9.035,9.192,8.349,8.582
Chaves Solar  LLC,33.45,-104.456,,,,24.188,174.066,187.455,165.83
Chei Solar,35.8918,-78.1823,,,,9.289,9.447000000000000,8.858,8.916
Chenango Solar,42.1982,-75.9273,,,,,,,0
Cherry Blossom Solar LLC,33.7622,-79.458,,,,,,,0.385
Cherrydale Solar Power Facility,37.3694,-75.9141,,,,,5.947,31.614,36.895
Chester Solar Farm,42.312,-72.949,,3.141,7.4830000000000000,7.471,6.267,6.282,6.8180000000000000
Chicopee Solar,42.1856,-72.5825,0,4.783,4.689,5.28,4.619,4.559,4.023
Chiloquin Solar  LLC,42.6107,-121.8612,,,,,,20.037,19.445
Chino Solar Valley,34.7184,-112.429,49.479,47.09,46.476,45.734,41.738,44.578,44.826
Chisago Community Solar,45.4134,-92.683,,,,0,6.316,6.166,5.2
Chisago Holdco LLC  CSG,45.3868,-92.8012,,,,,,,3.12
Chisago Solar,45.4525,-92.902,,,,0,10.65,11.341000000000000,9.86
Chisum,33.6329,-95.3907,,,,,,0,15.865
Choco Solar  LLC,35.482,-77.1131,,0,9.774000000000000,10.17,11.168000000000000,10.384,10.74
Chocowinity Solar LLC,35.515,-77.09,,0,8.563,8.599,9.008000000000000,8.695,8.609
Chowan Jehu Solar,36.2838,-76.6023,,,,,,8.055,9.195
Chuckawalla Solar,33.5683,-114.9181,5.4030000000000000,5.543,5.376,9.016,8.962,8.752,8.925
Church Hill,39.1009,-75.9597,,,,6.723,10.006,9.644,10.019
Church Road Solar LLC,35.5237,-78.6254,,,,,,2.148,7.622
Cibola,35.2011,-107.2452,,,17.284,19.150000000000000,19.983,19.678,19.768
Cimarron Solar Facility,36.4681,-104.6357,66.592,62.443,60.785000000000000,63.694,60.971000000000000,63.266,61.71
Cirrus Solar LLC,35.9694,-78.265,,0.006,8.598,9.111,9.172,8.763,8.92
Citizen B,36.7238,-120.4321,,,0.6960000000000000,12.26,11.592,11.451,11.238
Citizens Imperial Solar,33.1917,-115.4338,,,,,,,27.408
Citrus Ridge Solar,28.4008,-81.6163,,,,,,0.787,97.94500000000000
Citrus Solar Energy Center Hybrid,27.3209,-81.8069,,,,0,165.029,165.35000000000000,163.634
